Date,Minimum temperature (°C),Maximum temperature (°C),Station Name,Region Name
1990-01-01,29.12172681831621,35.246469777842776,Kununurra,"Kimberley, Western Australia"
1990-01-02,17.941217931749623,32.060492301318476,Kununurra,"Kimberley, Western Australia"
1990-01-03,18.35914123868272,29.68002775158528,Kununurra,"Kimberley, Western Australia"
1990-01-04,15.635156889219147,29.420339162354438,Kununurra,"Kimberley, Western Australia"
1990-01-05,25.327038146623394,33.66532033182664,Kununurra,"Kimberley, Western Australia"
1990-01-06,10.0,21.473364023735584,Kununurra,"Kimberley, Western Australia"
1990-01-07,29.7240588210824,41.54762197015566,Kununurra,"Kimberley, Western Australia"
1990-01-08,17.193965495524488,26.750547131093604,Kununurra,"Kimberley, Western Australia"
1990-01-09,22.595195480285494,32.38934944227125,Kununurra,"Kimberley, Western Australia"
1990-01-10,19.75314812261295,32.49657398585051,Kununurra,"Kimberley, Western Australia"
1990-01-11,28.31053968522487,34.680621583938375,Kununurra,"Kimberley, Western Australia"
1990-01-12,10.69929645251173,20.0,Kununurra,"Kimberley, Western Australia"
1990-01-13,19.387913979932463,25.794126462205465,Kununurra,"Kimberley, Western Australia"
1990-01-14,19.07972822665792,24.316179540389832,Kununurra,"Kimberley, Western Australia"
1990-01-15,26.66884721167719,33.12944089154998,Kununurra,"Kimberley, Western Australia"
1990-01-16,15.500543663429845,23.431039127992804,Kununurra,"Kimberley, Western Australia"
1990-01-17,20.137858962247822,26.75405981780381,Kununurra,"Kimberley, Western Australia"
1990-01-18,16.610707910393142,22.377956088964417,Kununurra,"Kimberley, Western Australia"
1990-01-19,21.211068733577964,31.499124105671946,Kununurra,"Kimberley, Western Australia"
1990-01-20,23.91407606857911,31.682637213263234,Kununurra,"Kimberley, Western Australia"
1990-01-21,15.496904113935393,23.971327964609046,Kununurra,"Kimberley, Western Australia"
1990-01-22,26.723618549198072,34.33090509126393,Kununurra,"Kimberley, Western Australia"
1990-01-23,25.50795360296398,32.300562737800604,Kununurra,"Kimberley, Western Australia"
1990-01-24,23.51247169450934,30.83107303193893,Kununurra,"Kimberley, Western Australia"
1990-01-25,25.50427974632206,35.58955672527049,Kununurra,"Kimberley, Western Australia"
1990-01-26,17.581360704128336,20.492156363633107,Kununurra,"Kimberley, Western Australia"
1990-01-27,20.38554887240676,24.685984516742764,Kununurra,"Kimberley, Western Australia"
1990-01-28,16.321152828704655,21.27006723534292,Kununurra,"Kimberley, Western Australia"
1990-01-29,19.66055960186992,31.871393938424497,Kununurra,"Kimberley, Western Australia"
1990-01-30,23.65177733369093,27.76997397088886,Kununurra,"Kimberley, Western Australia"
1990-01-31,17.541696241373455,28.87947371787728,Kununurra,"Kimberley, Western Australia"
1990-02-01,19.016232365720114,31.09260848667034,Kununurra,"Kimberley, Western Australia"
1990-02-02,17.564136499402004,28.660583718287242,Kununurra,"Kimberley, Western Australia"
1990-02-03,16.7739717925064,25.995781540366707,Kununurra,"Kimberley, Western Australia"
1990-02-04,17.643769345815905,29.827495538980283,Kununurra,"Kimberley, Western Australia"
1990-02-05,20.936677005405492,32.904386807806546,Kununurra,"Kimberley, Western Australia"
1990-02-06,15.41344825682361,27.806761732485047,Kununurra,"Kimberley, Western Australia"
1990-02-07,22.17207848908546,31.154113249382853,Kununurra,"Kimberley, Western Australia"
