Date,9am Wind Direction,9am Wind Speed (km/h),3pm Wind Direction,3pm Wind Speed (km/h),Station Name,Region Name
1990-01-01,N,20.30337024285764,NW,20.30337024285764,Kununurra,"Kimberley, Western Australia"
1990-01-02,S,22.999707999426974,E,22.999707999426974,Kununurra,"Kimberley, Western Australia"
1990-01-03,NE,14.02454641335881,N,14.02454641335881,Kununurra,"Kimberley, Western Australia"
1990-01-04,SE,24.16159104974787,NE,24.16159104974787,Kununurra,"Kimberley, Western Australia"
1990-01-05,N,17.49019087983854,W,17.49019087983854,Kununurra,"Kimberley, Western Australia"
1990-01-06,N,10.492536589327255,NE,10.492536589327255,Kununurra,"Kimberley, Western Australia"
1990-01-07,SW,16.113759397268897,NE,16.113759397268897,Kununurra,"Kimberley, Western Australia"
1990-01-08,SW,23.591451043804263,S,23.591451043804263,Kununurra,"Kimberley, Western Australia"
1990-01-09,SE,21.993500195659784,SW,21.993500195659784,Kununurra,"Kimberley, Western Australia"
1990-01-10,SW,13.115140202327122,S,13.115140202327122,Kununurra,"Kimberley, Western Australia"
1990-01-11,NE,23.712018134161287,NE,23.712018134161287,Kununurra,"Kimberley, Western Australia"
1990-01-12,NE,19.472078429958348,NE,19.472078429958348,Kununurra,"Kimberley, Western Australia"
1990-01-13,N,22.550434378922127,S,22.550434378922127,Kununurra,"Kimberley, Western Australia"
1990-01-14,E,21.993518872234013,N,21.993518872234013,Kununurra,"Kimberley, Western Australia"
1990-01-15,E,13.059102434485144,E,13.059102434485144,Kununurra,"Kimberley, Western Australia"
1990-01-16,NE,22.10598291849519,S,22.10598291849519,Kununurra,"Kimberley, Western Australia"
1990-01-17,N,16.35867630141559,E,16.35867630141559,Kununurra,"Kimberley, Western Australia"
1990-01-18,NW,29.281875974094362,S,29.281875974094362,Kununurra,"Kimberley, Western Australia"
1990-01-19,E,24.340049652487146,N,24.340049652487146,Kununurra,"Kimberley, Western Australia"
1990-01-20,NE,20.276813403380988,NE,20.276813403380988,Kununurra,"Kimberley, Western Australia"
1990-01-21,NE,14.102050079488807,NW,14.102050079488807,Kununurra,"Kimberley, Western Australia"
1990-01-22,NE,20.326596433190947,SE,20.326596433190947,Kununurra,"Kimberley, Western Australia"
1990-01-23,SW,20.959357610435767,SE,20.959357610435767,Kununurra,"Kimberley, Western Australia"
1990-01-24,S,12.746311045226477,NE,12.746311045226477,Kununurra,"Kimberley, Western Australia"
1990-01-25,NE,33.34016130146701,SE,33.34016130146701,Kununurra,"Kimberley, Western Australia"
1990-01-26,W,22.36577128828635,W,22.36577128828635,Kununurra,"Kimberley, Western Australia"
1990-01-27,SE,30.154146291428923,NW,30.154146291428923,Kununurra,"Kimberley, Western Australia"
1990-01-28,E,13.32312707687736,N,13.32312707687736,Kununurra,"Kimberley, Western Australia"
1990-01-29,NW,29.814485250809174,S,29.814485250809174,Kununurra,"Kimberley, Western Australia"
1990-01-30,NW,11.834206448981039,S,11.834206448981039,Kununurra,"Kimberley, Western Australia"
1990-01-31,W,16.0926450000212,SW,16.0926450000212,Kununurra,"Kimberley, Western Australia"
1990-02-01,NW,23.25470785041998,W,23.25470785041998,Kununurra,"Kimberley, Western Australia"
1990-02-02,E,20.288037483144134,SW,20.288037483144134,Kununurra,"Kimberley, Western Australia"
1990-02-03,SE,5.851558201930658,SW,5.851558201930658,Kununurra,"Kimberley, Western Australia"
1990-02-04,N,13.366495737083595,E,13.366495737083595,Kununurra,"Kimberley, Western Australia"
1990-02-05,E,25.027018123520797,NW,25.027018123520797,Kununurra,"Kimberley, Western Australia"
1990-02-06,S,32.52722520969871,W,32.52722520969871,Kununurra,"Kimberley, Western Australia"
1990-02-07,SW,25.489045746804095,N,25.489045746804095,Kununurra,"Kimberley, Western Australia"
1990-02-08,SW,18.34277987440977,N,18.34277987440977,Kununurra,"Kimberley, Western Australia"
1990-02-09,SW,24.779071392349586,SE,24.779071392349586,Kununurra,"Kimberley, Western Australia"
1990-02-10,N,13.137208568922652,N,13.137208568922652,Kununurra,"Kimberley, Western Australia"
1990-02-11,S,23.059518697821304,SW,23.059518697821304,Kununurra,"Kimberley, Western Australia"
1990-02-12,W,11.915238229451203,S,11.915238229451203,Kununurra,"Kimberley, Western Australia"
1990-02-13,NW,19.943839396220554,S,19.943839396220554,Kununurra,"Kimberley, Western Australia"
1990-02-14,SE,19.21577216847104,SE,19.21577216847104,Kununurra,"Kimberley, Western Australia"
1990-02-15,SE,24.81251968177615,NE,24.81251968177615,Kununurra,"Kimberley, Western Australia"
1990-02-16,W,18.182216197229167,SW,18.182216197229167,Kununurra,"Kimberley, Western Australia"
1990-02-17,SE,27.212015538872222,NE,27.212015538872222,Kununurra,"Kimberley, Western Australia"
1990-02-18,S,18.819528329129973,NE,18.819528329129973,Kununurra,"Kimberley, Western Australia"
1990-02-19,NW,25.01917221278369,W,25.01917221278369,Kununurra,"Kimberley, Western Australia"
1990-02-20,W,24.719613696524945,NE,24.719613696524945,Kununurra,"Kimberley, Western Australia"
1990-02-21,SE,8.954744799208674,SW,8.954744799208674,Kununurra,"Kimberley, Western Australia"
1990-02-22,NE,20.225284919063448,W,20.225284919063448,Kununurra,"Kimberley, Western Australia"
1990-02-23,N,20.215568308495147,NW,20.215568308495147,Kununurra,"Kimberley, Western Australia"
1990-02-24,E,15.327560452658389,SE,15.327560452658389,Kununurra,"Kimberley, Western Australia"
1990-02-25,W,21.0764642861431,W,21.0764642861431,Kununurra,"Kimberley, Western Australia"
1990-02-26,SE,11.26679403682661,N,11.26679403682661,Kununurra,"Kimberley, Western Australia"
1990-02-27,S,23.33711133770253,N,23.33711133770253,Kununurra,"Kimberley, Western Australia"
1990-02-28,NW,23.0586731272302,NE,23.0586731272302,Kununurra,"Kimberley, Western Australia"
1990-03-01,W,21.802673257689364,NW,21.802673257689364,Kununurra,"Kimberley, Western Australia"
1990-03-02,NE,34.85950496869911,S,34.85950496869911,Kununurra,"Kimberley, Western Australia"
1990-03-03,E,22.114060379288514,S,22.114060379288514,Kununurra,"Kimberley, Western Australia"
1990-03-04,W,20.40482600330401,NW,20.40482600330401,Kununurra,"Kimberley, Western Australia"
1990-03-05,N,15.60641180138459,S,15.60641180138459,Kununurra,"Kimberley, Western Australia"
1990-03-06,S,21.78284726168008,NW,21.78284726168008,Kununurra,"Kimberley, Western Australia"
1990-03-07,NW,14.229339193386526,W,14.229339193386526,Kununurra,"Kimberley, Western Australia"
1990-03-08,W,27.630911703955434,NE,27.630911703955434,Kununurra,"Kimberley, Western Australia"
1990-03-09,SE,16.114132802153105,W,16.114132802153105,Kununurra,"Kimberley, Western Australia"
1990-03-10,SW,20.950817221829595,E,20.950817221829595,Kununurra,"Kimberley, Western Australia"
1990-03-11,E,31.940498097995167,S,31.940498097995167,Kununurra,"Kimberley, Western Australia"
1990-03-12,E,26.985125363951877,S,26.985125363951877,Kununurra,"Kimberley, Western Australia"
1990-03-13,E,21.45596095140296,E,21.45596095140296,Kununurra,"Kimberley, Western Australia"
1990-03-14,SE,28.279520582298744,NE,28.279520582298744,Kununurra,"Kimberley, Western Australia"
1990-03-15,E,19.672647767282584,E,19.672647767282584,Kununurra,"Kimberley, Western Australia"
1990-03-16,SW,24.771403695758192,W,24.771403695758192,Kununurra,"Kimberley, Western Australia"
1990-03-17,W,20.114539771447962,NW,20.114539771447962,Kununurra,"Kimberley, Western Australia"
1990-03-18,SW,14.567371179593223,NW,14.567371179593223,Kununurra,"Kimberley, Western Australia"
1990-03-19,S,22.58162798755076,SE,22.58162798755076,Kununurra,"Kimberley, Western Australia"
1990-03-20,NE,25.607900378281325,NE,25.607900378281325,Kununurra,"Kimberley, Western Australia"
1990-03-21,SE,17.923388766648554,E,17.923388766648554,Kununurra,"Kimberley, Western Australia"
1990-03-22,NE,13.417268698701095,SW,13.417268698701095,Kununurra,"Kimberley, Western Australia"
1990-03-23,S,16.830823585113606,E,16.830823585113606,Kununurra,"Kimberley, Western Australia"
1990-03-24,NE,5.72134835607795,W,5.72134835607795,Kununurra,"Kimberley, Western Australia"
1990-03-25,N,16.353897851053343,W,16.353897851053343,Kununurra,"Kimberley, Western Australia"
1990-03-26,SE,13.548259458177576,NW,13.548259458177576,Kununurra,"Kimberley, Western Australia"
1990-03-27,E,32.134430399553565,NW,32.134430399553565,Kununurra,"Kimberley, Western Australia"
1990-03-28,SW,16.610748219122623,NW,16.610748219122623,Kununurra,"Kimberley, Western Australia"
1990-03-29,SE,10.742425696443984,N,10.742425696443984,Kununurra,"Kimberley, Western Australia"
1990-03-30,SW,25.225050673598673,SW,25.225050673598673,Kununurra,"Kimberley, Western Australia"
1990-03-31,NW,18.948736838907482,N,18.948736838907482,Kununurra,"Kimberley, Western Australia"
1990-04-01,NW,20.291618040136317,SE,20.291618040136317,Kununurra,"Kimberley, Western Australia"
1990-04-02,NW,21.13187721941108,SW,21.13187721941108,Kununurra,"Kimberley, Western Australia"
1990-04-03,NE,21.25588093084771,SE,21.25588093084771,Kununurra,"Kimberley, Western Australia"
1990-04-04,E,17.753330500962342,E,17.753330500962342,Kununurra,"Kimberley, Western Australia"
