Date,Daily Solar Exposure (MJ/m*m),Monthly Mean Solar Exposure (MJ/m*m),Station Name,Region Name
1990-01-01,35.731770840581916,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-02,27.619059103071937,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-03,25.57898480843205,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-04,13.819043779813056,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-05,23.335670784913606,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-06,22.87144612438608,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-07,24.503551111105242,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-08,21.237995939056916,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-09,24.73709098614443,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-10,22.136691817842983,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-11,17.11681147982391,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-12,30.307734282997508,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-13,30.287908253245178,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-14,35.257438381917694,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-15,25.30020185306116,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-16,22.571935512394656,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-17,21.727840314282815,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-18,15.72113610650219,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-19,30.89420460554896,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-20,18.393594219331145,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-21,17.88972083787896,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-22,23.766100603464754,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-23,33.91689013044754,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-24,26.420297603361472,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-25,18.85728916044119,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-26,20.722040799327704,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-27,28.751469796976977,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-28,24.036919820878456,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-29,20.38698189808462,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-30,23.619815666332364,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-01-31,29.470337598432224,24.41896691032515,Kununurra,"Kimberley, Western Australia"
1990-02-01,36.85666469875781,23.103683704102338,Kununurra,"Kimberley, Western Australia"
1990-02-02,17.53526002626438,23.103683704102338,Kununurra,"Kimberley, Western Australia"
1990-02-03,21.241498532869784,23.103683704102338,Kununurra,"Kimberley, Western Australia"
1990-02-04,20.17740343254054,23.103683704102338,Kununurra,"Kimberley, Western Australia"
1990-02-05,10.485500960927983,23.103683704102338,Kununurra,"Kimberley, Western Australia"
