Date,Daily Solar Exposure (MJ/m*m),Monthly Mean Solar Exposure (MJ/m*m),Station Name,Region Name
1990-01-01,28.82026172983832,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-02,22.000786041836115,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-03,24.893689920528697,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-04,31.20446599600729,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-05,29.337789950749837,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-06,15.113610600617946,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-07,24.750442087627945,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-08,19.24321395851151,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-09,19.48390574103221,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-10,22.05299250969186,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-11,20.72021785580439,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-12,27.271367534814875,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-13,23.805188625734967,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-14,20.608375082464143,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-15,22.21931616372713,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-16,21.668371636871335,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-17,27.47039536578803,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-18,18.974208681170996,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-19,21.565338508254506,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-20,15.729521303491376,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-21,7.235050920829607,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-22,23.268092977201803,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-23,24.32218099429753,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-24,16.28917489796779,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-25,31.348773119938038,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-26,12.728171627006176,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-27,20.22879258650723,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-28,19.064080749870833,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-29,27.663896071792287,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-30,27.346793849501424,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-01-31,20.77473712848458,22.167845297353573,Merredin,"Wheatbelt, Western Australia"
1990-02-01,21.890812598010868,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-02,15.561071261849436,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-03,10.096017658880365,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-04,18.26043925336924,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-05,20.7817448455199,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-06,26.151453403638605,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-07,26.011899243922056,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-08,18.06336591296024,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-09,18.488486247123323,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-10,14.757235174664537,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-11,12.899910314105124,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-12,11.468649046874937,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-13,29.75387697615895,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-14,17.451739091241734,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-15,17.809628491944068,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-16,13.736023199750369,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-17,23.88745177915955,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-18,11.930510762210243,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-19,18.936298598930158,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-20,15.522667194031623,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-21,21.93451248929631,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-22,17.445974312155634,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-23,14.096839079387939,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-24,19.859088858306727,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-25,22.141659352652088,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-26,20.33258611191584,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
1990-02-27,21.512359488698905,18.486096081369784,Merredin,"Wheatbelt, Western Australia"
