Date,Minimum temperature (°C),Maximum temperature (°C),Station Name,Region Name
1990-01-01,18.82026172983832,29.895348335277955,Merredin,"Wheatbelt, Western Australia"
1990-01-02,12.000786041836117,22.927269295657197,Merredin,"Wheatbelt, Western Australia"
1990-01-03,14.893689920528697,22.559752974225454,Merredin,"Wheatbelt, Western Australia"
1990-01-04,21.20446599600729,31.945106513333798,Merredin,"Wheatbelt, Western Australia"
1990-01-05,19.337789950749837,29.17355716529405,Merredin,"Wheatbelt, Western Australia"
1990-01-06,5.113610600617945,11.556219346131545,Merredin,"Wheatbelt, Western Australia"
1990-01-07,14.750442087627947,22.435204029625563,Merredin,"Wheatbelt, Western Australia"
1990-01-08,9.243213958511511,17.327098601590922,Merredin,"Wheatbelt, Western Australia"
1990-01-09,9.48390574103221,21.16462759526954,Merredin,"Wheatbelt, Western Australia"
1990-01-10,12.052992509691862,27.340538540375743,Merredin,"Wheatbelt, Western Australia"
1990-01-11,10.720217855804389,20.52105208974056,Merredin,"Wheatbelt, Western Australia"
1990-01-12,17.271367534814875,23.345188229189645,Merredin,"Wheatbelt, Western Australia"
1990-01-13,13.805188625734967,21.911997396449824,Merredin,"Wheatbelt, Western Australia"
1990-01-14,10.608375082464143,20.493831140215903,Merredin,"Wheatbelt, Western Australia"
1990-01-15,12.219316163727129,20.367158292350982,Merredin,"Wheatbelt, Western Australia"
1990-01-16,11.668371636871335,22.805205480062593,Merredin,"Wheatbelt, Western Australia"
1990-01-17,17.47039536578803,26.82851411388806,Merredin,"Wheatbelt, Western Australia"
1990-01-18,8.974208681170996,15.461924324723192,Merredin,"Wheatbelt, Western Australia"
1990-01-19,11.565338508254507,25.470847646702296,Merredin,"Wheatbelt, Western Australia"
1990-01-20,5.729521303491376,17.858088612393892,Merredin,"Wheatbelt, Western Australia"
1990-01-21,-2.7649490791703926,7.224312294875524,Merredin,"Wheatbelt, Western Australia"
